,account,comments,date,likes,text,url
10,capucha_informa,61.0,2020-11-03 18:53:31,2423.0,"#MalGobierno  El subsecretario de Redes Asistenciales, Arturo Zúñiga, y el jefe del Departamento de Epidemiología del Ministerio de Salud, Rafael Araos, dejaron sus cargos en plena investigación del Ministerio Público al #Minsal por el manejo de la pandemia.

El link en la nota. 📱

https://bit.ly/3kTPxVf",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/123292803_660734611311190_6829902683391384950_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=9rtNaDK6sigAX_zn1ec&oh=145a93a69fbf131f08781f8c31969163&oe=5FCB5515&ig_cache_key=MjQzNDQ1NDQ4NTUwMDk1MzE3Mw%3D%3D.2
11,capucha_informa,10.0,2020-11-03 18:47:21,996.0,"#FueraPérez  APRUEBAN #AcusacionConstitucional contra el ministro del Interior, Víctor Pérez por 80 votos a favor, 74 en contra y una abstención. Ahora Pérez queda SUSPENDIDO y la acusación pasa al Senado.",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/123359205_359938225330061_698179114634237010_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=_o98jqRl7n0AX_zo2jp&oh=967fd1e2d2ef51f583cd6c1e518220d7&oe=5FCDBFA3&ig_cache_key=MjQzNDQ1MTM3OTI5NzkxMjk4Mg%3D%3D.2
12,capucha_informa,0.0,2020-11-03 18:14:18,578.0,"AYER │  Barrotazo y manifestaciones en la la cárcel de Huachalalume. 

Familiares y amigxs se congregaron a las afueras del recinto a exigir la restitución del régimen de visitas de lxs presxs y la libertad de lxs presxs políticxs de la Revuelta. 

Vía @cuidateyresiste",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123527244_734843130781569_3360509176705651205_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=vSoYnDpuOVEAX_m0ffB&tp=18&oh=c66900d247eb1bfa9329221d9bde419a&oe=5FCCE917
13,capucha_informa,0.0,2020-11-03 17:53:55,335.0,"ESTA TARDE │ Miembros del Gremio de la Salud se manifestaron esta tarde en la Plaza de la Dignidad exigiendo mas presupuesto para la atención primaria. 

Vía @Chileinformado1",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123241846_390431072127831_3819144991435709995_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=auFzy1WXcDMAX9u4nwz&tp=18&oh=edd4380d0108572414b2af82e0d0bc28&oe=5FA493A5
14,capucha_informa,4.0,2020-11-03 17:31:05,526.0,"DESALOJO EN OLIVAR │ ACTUALIZACIÓN 

El día lunes 2 de noviembre al medio día 4 familias fueron desalojadas en Gultro Viejo, las viviendas corresponden a una toma en un terreno que esta al costado de la lineal férrea, propiedad del grupo EFE, quienes junto a carabineros desalojaron violentamente a lxs pobladorxs.

Las familias habrían sido notificadas de un posible desalojo en el mes de septiembre en medio de la pandemia, sin posibilidades de buscar otro lugar donde vivir, sin apoyo del Estado ni del municipio el desalojo se hizo efectivo el día de ayer. 

La violencia con la cual actuó Carabineros de chile contra lxs pobladorxs fue brutal, ante el minino acto de provocación fueron atacados con gas pimienta, lumas y eran detenidxs. 

Durante el mes de noviembre seguirán los desalojos a lxs pobladorxs según las notificaciones que envió EFE y el municipio  sigue sin hacer nada mientras los esbirros del estado dejan familias en la calle.",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123368118_120883822949625_4057786744571626205_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=h3xGR1GwW0gAX8VT9U3&tp=18&oh=5f23fdddb9fc0921b553a3fd5f83bc62&oe=5FCBEFCA&ig_cache_key=MjQzNDQxMjk5ODQ0OTA0ODE1Mg%3D%3D.2
15,capucha_informa,1.0,2020-11-03 17:04:53,237.0,"DIFUNDIMOS │ Cicletada ""Primer Martes del Mes"" 

HOY cicletada a las 19;00 hrs en  la Plaza de la Resistencia (Ex Aníbal Pinto) #NoMasCiclistasMuertxs 

Vía @movilizacionesvalpoyvina",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123367113_447034289992770_4874883566715465079_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=viETD4CiRx0AX_A4m_X&tp=18&oh=0bd078f152c6253c99bd05eba16e5dc2&oe=5FCC0B9E&ig_cache_key=MjQzNDM5OTgxMDA4MDkwMTg4MA%3D%3D.2
16,capucha_informa,1.0,2020-11-03 16:53:52,604.0,"PAULINA │ DESAPARECIDA 30 OCTUBRE 

Paulina de 17 años lleva desaparecida desde las 12:30 hrs del Viernes 30 de Octubre, en el sector de Estaquilla, comuna de los Muermos en la región de Los Lagos. 

Cualquier información al contacto del afiche.",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123721522_3431280563573913_3695983129901401954_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=gaswof4HOrIAX9FRdV8&tp=18&oh=8269a238a7712d93e4823f8a3a504b27&oe=5FCC882B
17,capucha_informa,108.0,2020-11-03 16:02:57,4570.0,"AYER  Así fueron desalojadas familias en la comuna de Olivar, sexta región. 

Lxs pobladorxs además de ser desalojados violentamente, fueron detenidos y atacados con gas pimienta por los #PacosSinGloria, todo esto mientras demolían las casas sin que nadie se preocupe donde van a vivir nuevamente estas familias.",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123367591_751899098871599_5036778780067013728_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=8fxVrYsdHpIAX-Rzi-O&tp=18&oh=bd929ef9ee8635d9950803916b86535d&oe=5FA50E90
18,capucha_informa,109.0,2020-11-03 15:57:09,6298.0,"FEMICIDIO VALDIVIA│ Tania Macarena Bustamante 

AYER Tania fue asesinada por su pareja, el hombre le disparo con una escopeta causándole la muerte, esto se produce en un contexto de violencia donde vecinxs ya habrían intentado interceder en la situación, sin embargo el agresor termino con la vida de Tania la madrugada de este Lunes.

Marco Fuentes intento suicidarse con la misma escopeta, sin embargo no logro hacerlo y ahora se encuentra con riesgo vital en el Hospital regional, se encuentra en calidad de detenido. 

El hombre tenia antecedentes y llevaba dos meses de convivencia con Tania, la dueña del Inmueble menciono que los hechos de violencia eran reiterados. 

#JusticiaParaTaniaBustamante",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123314068_391417832230041_6700930748650453056_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=suldjSgoukAAX8rQUJ-&tp=18&oh=c132c59303e0dc51f3b8d3507e57af44&oe=5FCB478A&ig_cache_key=MjQzNDM2NTcxOTMwNjQyMDUzMg%3D%3D.2
19,capucha_informa,45.0,2020-11-03 15:21:13,3805.0,"#PacosAsesinos │ DENUNCIA Hombre que habría sido atacado por el carro lanza aguas N°42 de carabineros de Chile el viernes pasado presenta graves quemaduras en la piel que con el pasar de los días han ido empeorando.

 ¿Quién nos cuida de los pacos?",https://instagram.fscl12-1.fna.fbcdn.net/v/t51.2885-15/e35/123264350_421951362529800_4570715129249472860_n.jpg?_nc_ht=instagram.fscl12-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=l1E8emzaW6AAX_7zHM7&tp=18&oh=dbdeef0b0b700ca6442f2a7c64ccf42e&oe=5FCDA126
